Sl No.,Timestamp,Source,Destination,Volume,Protocol
281,2015-10-20 15:35:17 Z,10.10.10.10,10.10.10.30,7,tcp
282,2015-10-20 15:35:17 Z,10.10.10.10,10.10.10.30,7,tcp
283,2015-10-20 15:35:17 Z,10.10.10.10,10.10.10.30,7,tcp
284,2015-10-20 15:35:17 Z,10.10.10.30,10.10.10.10,5,tcp
285,2015-10-20 15:35:18 Z,10.10.10.10,10.10.10.30,7,tcp
286,2015-10-20 15:35:18 Z,10.10.10.30,10.10.10.10,5,tcp
287,2015-10-20 15:35:19 Z,10.10.10.10,10.10.10.30,7,tcp
288,2015-10-20 15:35:19 Z,10.10.10.10,10.10.10.30,7,tcp
289,2015-10-20 15:35:19 Z,10.10.10.10,10.10.10.30,7,tcp
290,2015-10-20 15:35:19 Z,10.10.10.10,10.10.10.30,7,tcp
291,2015-10-20 15:35:19 Z,10.10.10.10,10.10.10.30,7,tcp
292,2015-10-20 15:35:19 Z,10.10.10.30,10.10.10.10,5,tcp
293,2015-10-20 15:35:20 Z,10.10.10.30,10.10.10.10,5,tcp
294,2015-10-20 15:35:21 Z,10.10.10.10,10.10.10.30,7,tcp
295,2015-10-20 15:35:21 Z,10.10.10.10,10.10.10.30,7,tcp
296,2015-10-20 15:35:21 Z,10.10.10.10,10.10.10.30,7,tcp
297,2015-10-20 15:35:21 Z,10.10.10.30,10.10.10.10,5,tcp
298,2015-10-20 15:35:22 Z,10.10.10.10,10.10.10.30,7,tcp
299,2015-10-20 15:35:22 Z,192.168.89.2,8.8.8.8,1,udp
300,2015-10-20 15:35:22 Z,10.10.10.30,10.10.10.10,5,tcp
301,2015-10-20 15:35:23 Z,10.10.10.10,10.10.10.30,7,tcp
302,2015-10-20 15:35:23 Z,10.10.10.10,10.10.10.30,7,tcp
303,2015-10-20 15:35:23 Z,10.10.10.10,10.10.10.30,7,tcp
304,2015-10-20 15:35:23 Z,10.10.10.10,10.10.10.30,7,tcp
305,2015-10-20 15:35:23 Z,10.10.10.30,10.10.10.10,5,tcp
306,2015-10-20 15:35:24 Z,10.10.10.10,10.10.10.30,7,tcp
307,2015-10-20 15:35:24 Z,10.10.10.10,10.10.10.30,7,tcp
308,2015-10-20 15:35:24 Z,10.10.10.30,10.10.10.10,5,tcp
309,2015-10-20 15:35:25 Z,10.10.10.10,10.10.10.30,7,tcp
310,2015-10-20 15:35:25 Z,10.10.10.10,10.10.10.30,7,tcp
311,2015-10-20 15:35:25 Z,10.10.10.10,10.10.10.30,7,tcp
312,2015-10-20 15:35:25 Z,10.10.10.30,10.10.10.10,5,tcp
313,2015-10-20 15:35:26 Z,10.10.10.10,10.10.10.30,7,tcp
314,2015-10-20 15:35:26 Z,10.10.10.10,10.10.10.30,7,tcp
315,2015-10-20 15:35:26 Z,10.10.10.30,10.10.10.10,5,tcp
316,2015-10-20 15:35:27 Z,10.10.10.10,10.10.10.30,7,tcp
317,2015-10-20 15:35:27 Z,10.10.10.30,10.10.10.10,5,tcp
318,2015-10-20 15:35:28 Z,10.10.10.10,10.10.10.30,7,tcp
319,2015-10-20 15:35:28 Z,10.10.10.30,10.10.10.10,5,tcp
320,2015-10-20 15:35:29 Z,10.10.10.10,10.10.10.30,7,tcp
321,2015-10-20 15:35:29 Z,10.10.10.30,10.10.10.10,5,tcp
